Root	root
"Aerococcaceae"	family
"Alicyclobacillaceae"	family
"Bacillaceae 1"	subfamily
"Bacillaceae 2"	subfamily
"Bacillaceae 2" Incertae Sedis	genus
"Bacilli Incertae Sedis"	genus
"Bacilli"	class
"Carnobacteriaceae 1"	subfamily
"Carnobacteriaceae 2"	subfamily
"Carnobacteriaceae"	family
"Clostridia"	class
"Clostridiaceae 1"	subfamily
"Enterococcaceae"	family
"Erysipelotrichales"	order
"Erysipelotrichi"	class
"Eubacteriaceae"	family
"Gracilibacteraceae"	family
"Heliobacteriaceae"	family
"Lachnospiraceae"	family
"Lachnospiraceae" Incertae Sedis	genus
"Lactobacillales"	order
"Leuconostocaceae"	family
"Listeriaceae"	family
"Paenibacillaceae 1"	subfamily
"Paenibacillaceae 2"	subfamily
"Paenibacillaceae"	family
"Peptostreptococcaceae"	family
"Peptostreptococcaceae" Incertae Sedis	genus
"Ruminococcaceae"	family
"Ruminococcaceae" Incertae Sedis	genus
"Sporolactobacillaceae Incertae Sedis"	genus
"Sporolactobacillaceae"	family
"Staphylococcaceae"	family
"Thermoactinomycetaceae"	family
"Thermoanaerobacteraceae"	family
"Thermoanaerobacterales"	order
"Thermoanaerobacterales" Incertae Sedis III	family
"Thermoanaerobacterales" Incertae Sedis IV	family
Abiotrophia	genus
Acaricomes	genus
Acetanaerobacterium	genus
Acetitomaculum	genus
Acetivibrio	genus
Acetobacter	genus
Acetobacteraceae	family
Acetobacterium	genus
Acetohalobium	genus
Acetonema	genus
Acholeplasma	genus
Acholeplasmataceae	family
Acholeplasmatales	order
Achromatium	genus
Achromobacter	genus
Acidaminobacter	genus
Acidaminococcus	genus
Acidianus	genus
Acidicaldus	genus
Acidilobus	genus
Acidimicrobiaceae	family
Acidimicrobiales	order
Acidimicrobidae	subclass
Acidimicrobineae	suborder
Acidimicrobium	genus
Acidiphilium	genus
Acidisphaera	genus
Acidithiobacillaceae	family
Acidithiobacillales	order
Acidithiobacillus	genus
Acidobacteria	phylum,class
Acidobacteriaceae	family
Acidobacteriales	order
Acidocella	genus
Acidomonas	genus
Acidothermaceae	family
Acidothermus	genus
Acidovorax	genus
Acinetobacter	genus
Acrocarpospora	genus
Actinoalloteichus	genus
Actinobacillus	genus
Actinobacteria	phylum,class
Actinobacteridae	subclass
Actinobaculum	genus
Actinocatenispora	genus
Actinocorallia	genus
Actinokineospora	genus
Actinomadura	genus
Actinomyces	genus
Actinomycetaceae	family
Actinomycetales	order
Actinomycineae	suborder
Actinoplanes	genus
Actinopolymorpha	genus
Actinopolyspora	genus
Actinospica	genus
Actinosynnema	genus
Actinosynnemataceae	family
Adhaeribacter	genus
Advenella	genus
Aequorivita	genus
Aeriscardovia	genus
